Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
22.0,20,1596,0.11,0.0,0.0,0.0,0.0,0.0,9,3
35.0,22,1980,0.09,0.0,0.0,0.0,0.0,0.0,0,2
23.0,14,770,0.12,0.0,0.0,0.0,0.0,0.0,9,2
22.0,20,1799,0.15,0.0,0.0,1.0,1.0,0.0,7,2
30.0,15,1165,0.16,0.0,0.0,1.0,1.0,0.0,7,2
26.0,1,11,0.0,0.0,0.0,1.0,1.0,0.0,7,4
19.0,5,185,0.0,0.0,0.0,0.0,0.0,0.0,5,2
19.0,11,107,0.0,0.0,0.0,0.0,0.0,0.0,5,2
22.0,4,272,0.0,0.0,0.0,0.0,0.0,0.0,0,1
22.0,22,1507,0.18,0.0,0.0,0.0,0.0,0.0,5,2
25.0,22,1582,0.06,0.0,0.0,1.0,0.0,0.0,3,4
35.0,14,1110,0.24,0.0,0.0,0.0,0.0,0.0,0,4
21.0,2,36,0.0,0.0,0.0,1.0,0.0,0.0,3,2
31.0,16,985,0.46,0.09,0.0,0.0,0.0,0.0,0,1
26.0,21,1577,0.0,0.0,0.0,1.0,0.0,0.0,3,3
23.0,19,1706,0.26,0.05,0.0,1.0,1.0,0.0,7,3
29.0,16,471,0.38,0.0,0.0,0.0,0.0,0.0,5,0
25.0,14,1095,0.16,0.0,0.0,0.0,0.0,0.0,0,3
19.0,5,107,1.67,0.0,0.0,0.0,0.0,0.0,9,2
21.0,15,765,0.59,0.0,0.0,0.0,0.0,0.0,5,0
22.0,13,652,0.14,0.0,0.0,1.0,0.0,0.0,3,0
22.0,4,116,0.77,0.0,0.0,0.0,0.0,0.0,9,4
26.0,18,775,0.35,0.0,0.0,0.0,0.0,0.0,5,4
20.0,12,359,0.25,0.0,0.0,0.0,0.0,0.0,5,4
25.0,19,1599,0.11,0.11,0.0,0.0,0.0,0.0,0,2
21.0,5,286,0.63,0.0,0.0,1.0,1.0,0.0,7,2
23.0,3,49,0.0,0.0,0.0,0.0,0.0,0.0,1,0
26.0,19,1130,0.16,0.0,0.0,1.0,1.0,0.0,7,1
24.0,21,1443,0.13,0.0,0.0,0.0,0.0,0.0,9,4
26.0,6,515,0.53,0.0,0.0,0.0,0.0,0.0,0,3
29.0,13,615,0.29,0.0,0.0,0.0,0.0,0.0,0,2
20.0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,9,3
20.0,17,1398,0.26,0.06,0.0,1.0,1.0,0.0,7,0
